Õ	+
#E50F	I4_CAPS
#E510	D_BAR_CAPS
#E511	N_WAVE_CAPS
#E512	O1_CAPS
#E513	O2_CAPS
#E514	O3_CAPS
#E515	O4_CAPS
#E516	O5_CAPS
#E517	O6_CAPS
#E518	U1_CAPS
#E519	U2_CAPS
#E51A	U3_CAPS
#E51B	U4_CAPS
#E51C	Y1_CAPS
#E51D	BB_CAPS
#E51E	Y2_CAPS
#E520	A7_CAPS
#E521	A8_CAPS
#E522	C1_CAPS
#E523	C2_CAPS
#E524	OE_CAPS
#E525	D1_CAPS
#E526	E5_CAPS
#E527	E6_CAPS
#E528	L1_CAPS
#E529	N1_CAPS
#E52A	N2_CAPS
#E52B	O7_CAPS
#E52C	R1_CAPS
#E52D	S1_CAPS
#E52E	S2_CAPS
#E52F	T1_CAPS
#E530	O8_CAPS
#E531	U5_CAPS
#E532	Z1_CAPS
#E533	Z2_CAPS
#E534	Z3_CAPS
#E535	AZ_CAPS
#E560	BUKY_CAPS
#E561	VEDE_CAPS
#E562	GLAGOLI_CAPS
#E563	DOBRO_CAPS
#E564	EST_CAPS
#E565	EST2_CAPS
#E566	ZIVETE_CAPS
#E567	ZEMLA_CAPS
#E568	IZE_CAPS
#E569	IZEI_CAPS
#E56A	KAKO_CAPS
#E56B	LUDIE_CAPS
#E56C	MYSLITE_CAPS
#E56D	NAS_CAPS
#E56E	ON_CAPS
#E56F	POKOI_CAPS
#E570	RCI_CAPS
#E571	SLOVO_CAPS
#E572	TVERDO_CAPS
#E573	UK_CAPS
#E574	FRT_CAPS
#E575	HER_CAPS
#E576	OM_CAPS
#E577	CI_CAPS
#E578	CRV_CAPS
#E579	SA_CAPS
#E57A	STA_CAPS
#E57B	ER_CAPS
#E57C	ERY_CAPS
#E57D	ERI_CAPS
#E57E	KSI_CAPS
#E580	UI_CAPS
#E581	IOUS_CAPS
#E582	FITA_CAPS
#E640	ALPHA_LOWER
#E641	BETA_LOWER
#E642	GAMMA_LOWER
#E643	DELTA_LOWER
#E644	EPSILON_LOWER
#E645	ZETA_LOWER
#E646	ETA_LOWER
#E647	THETA_LOWER
#E648	IOTA_LOWER
#E649	KAPPA_LOWER
#E64A	LAMBDA_LOWER
#E64B	MU_LOWER
#E64C	NU_LOWER
#E64D	XI_LOWER
#E64E	OMICRON_LOWER
#E64F	PI_LOWER
#E650	RHO_LOWER
#E651	SIGMA_LOWER
#E652	SIGMA2_LOWER
#E653	THAU_LOWER
#E654	UPSILON_LOWER
#E655	PHI_LOWER
#E656	CHI_LOWER
